id;firstName;lastName;country;dateOfBirth;placeOfBirth;team;numberOfPodiums;firstSeason;note
3;Daniel;Ricardo;Australia;01.07.1989;Perth, Australia;McLaren;32;2012;The Honey Badger
44;Lewis;Hamilton;United Kingdom;07.01.1985;Stevenage, England;Mercedes;182;2007;Still I Rise
63;George;Russell;United Kingdom;15.02.1998;"King;s Lynn, England";Mercedes;1;2019;If in doubt, go flat out
33;Max;Verstappen;Netherlands;30.09.1997;Hasselt, Belgium;Red Bull Racing;60;2014;Max by name, max by nature
11;Sergio;Perez;Mexico;26.01.1990;Guadalajara, Mexico;Red Bull Racing;15;2011;Fighter with a gentle touch
16;Charles;Leclerc;Monaco;16.10.1997;Monte Carlo, Monaco;Ferrari;13;2016;Meditarian on the mission
55;Carlos;Sainz;Spain;01.09.1994;Madrid, Spain;Ferrari;6;2015;Matador from madrid
4;Lando;Norris;United Kingdom;13.11.1999;Bristol, England;McLaren;5;2019;May the downforce be with us
31;Esteban;Ocon;France;17.09.1996;Evereux, Normandy;Alpine;2;2017;The boy with sacrifice
14;Fernancdo;Alonso;Spain;29.07.1981;Oviedo, Spain;Alpine;98;2001;9/10 in evertyhing
10;Pierre;Gasly;France;07.02.1996;Rouen, France;AlphaTauri;3;2017;Rollercoaster guy
22;Yuki;Tsunoda;Japan;11.05.2000;Sagamihara, Japan;AlphaTauri;0;2021;Could he be the first Japanese to win F1?
18;Lance;Stroll;Canada;29.10.1998;Montreal, Canada;Aston Martin;3;2017;The kid comming from money
5;Sebastian;Vettel;Germany;03.07.1987;Heppenheim, Germany;Aston Martin;122;2006;The one flirting with reporters
23;Alexander;Albon;Thailand;23.03.1996;London, England;Williams;2;2019;First word in italian
6;Nicholas;Latifi;Canada;29.06.1995;Montreal, Canada;Williams;0;2020;Started racing at the age 13 which is pretty late
77;Valtteri;Bottas;Finland;28.08.1989;Nastola, Finland;Alfa Romeo;67;2013;Learned the craft on icy finish roads
24;Guanyu;Zhou;China;30.05.1999;Shanghai, China;Alfa Romeo;0;2022;Feels like first chineese F1 driver
47;Mick;Schumacher;Germany;23.03.1999;Vufflens-le-Chateau, Switzerland;Haas F1 Team;0;2021;Son of the famous driver
9;Nikita;Mazepin;Russia;02.03.1999;Moscow, Russia;Haas F1 Team;0;2021;He can barely finish one lap
